companyName,siteName,technology,type,chp,primaryFuel,secondaryFuel,installedCapacity,gridConnectionType,country,region,postcode,osReference,Easting,Northing,yearCommissioned,lon,lat,bmus,bmus,bmus,bmus,bmus,bmus
Scottish Power,Beinn Tharsuinn,Wind,Onshore,No,Wind,,29.75,HV,Scotland,Scotland,IV191LH,,261700,881900,2005,-4.32899545,57.80525868,,,,,,
Scottish Power,Cruach Mhor,Wind,Onshore,No,Wind,,29.75,LV,Scotland,Scotland,PA223AE,,203500,687500,2004,-5.15598012,56.03993111,,,,,,
Scottish Power,Beinn an Tuirc I,Wind,Onshore,No,Wind,,29.7,LV,Scotland,Scotland,PA286QY,,173950,636900,2002,-5.58731634,55.57316831,,,,,,
Cubico Sustainable Investments,Penmanshiel ,Wind,Onshore,No,Wind,,28.7,LV,Scotland,Scotland,TD113RP,,380006,667129,2016,-2.32130336,55.89686253,,,,,,
Greencoat Capital,Drone Hill,Wind,Onshore,No,Wind,,28.6,LV,Scotland,Scotland,,,383719,667227,2012,-2.26193527,55.89788408,,,,,,
RES Group,Black Hill Wind Farm,Wind,Onshore,No,Wind,,28.6,LV,Scotland,Scotland,,NT730555,373000,656300,2007,-2.43224999,55.79922498,,,,,,
SSE Group,"Artfield Fell Windfarm - A,C",Wind,Onshore,No,Wind,,28.6,LV,Scotland,Scotland,,NX236659,223005,567000,2005,-4.76637354,54.96611278,,,,,,
Capital Dynamics UK,Whiteside Hill,Wind,Onshore,No,Wind,,28.5,HV,Scotland,Scotland,DG4 6LF,,,,2018,0,0,,,,,,
RES Group,Kelburn Wind Farm (GB),Wind,Onshore,No,Wind,,28,LV,Scotland,Scotland,KA245LE,,224000,655000,2012,-4.80621945,55.75625639,,,,,,
SSE Group,Toddleburn Windfarm,Wind,Onshore,No,Wind,,27.6,HV,Scotland,Scotland,,NT433499,345050,653150,2010,-2.87739519,55.76854969,T_TDBNW-1,,,,,
Falck Renewables SpA,Ben Aketil,Wind,Onshore,No,Wind,,27.6,LV,Scotland,Scotland,,NG311485,132500,846500,2007,-6.45832649,57.42978107,,,,,,
Scottish Power,Green Knowes,Wind,Onshore,No,Wind,,27,LV,Scotland,Scotland,FK147YJ,,296850,707550,2008,-3.66625304,56.24922341,,,,,,
RWE Npower,Bad a Cheo,Wind,Onshore,No,Wind,,26.65,HV,Scotland,Scotland,,,316615,948900,2018,-3.42919999,58.42044869,,,,,,
WPO UK Services,Quixwood Moor,Wind,Onshore,No,Wind,,26.65,,Scotland,Scotland,,NT 76067 64408,,,2017,0,0,,,,,,
Lightsource BP,Arkwright SPV,Solar,PV,No,Solar,,26.001155,,,,,,,,2016,0,0,,,,,,
RES Group,Glens of Foudland,Wind,Onshore,No,Wind,,26,LV,Scotland,Scotland,,,361496,837303,2009,-2.6427882,57.4244249,,,,,,
EDF Energy,Burnhead Moss,Wind,Onshore,No,Wind,,26,LV,Scotland,Scotland,FK12JW,,288503,671903,2016,-3.78600272,55.92722504,,,,,,
Scottish Power,Hagshaw Hill II,Wind,Onshore,No,Wind,,26,LV,Scotland,Scotland,ML110RR,,278965,630750,2008,-3.9203151,55.55537033,,,,,,
RES Group,Dungavel,Wind,Onshore,No,Wind,,26,HV,Scotland,Scotland,,,267954,636995,2015,-4.0977336,55.60858592,,,,,,
RES Group,Glenchamber Wind Farm (GB),Wind,Onshore,No,Wind,,25.3,LV,Scotland,Scotland,DG80PB,,224474,564039,2016,-4.74164477,54.94005499,,,,,,
Eneco Wind UK,Twinshiels,Wind,Onshore,No,Wind,,25,LV,Scotland,Scotland,,NO757723,375955,771728,2014,-2.395705,56.83637826,,,,,,
RES Group,Minnygap (GB),Wind,Onshore,No,Wind,,25,HV,Scotland,Scotland,DG109PX,,307313,597397,2017,-3.4600182,55.26199402,,,,,,
Falck Renewables SpA,Assel Valley,Wind,Onshore,No,Wind,,25,LV,Scotland,Scotland,,NX211938,223370,595995,2016,-4.77868459,55.22648348,,,,,,
SSE Group,Inverawe,Hydro,Natural Flow,No,Hydro,,25,LV,Scotland,Scotland,PA351HQ,,202299.546,730929.4816,1963,-5.2076397,56.42900796,,,,,,
RES Group,Little Raith (GB),Wind,Onshore,No,Wind,,24.8,LV,Scotland,Scotland,KY50AX,,,,2020,0,0,,,,,,
RWE Npower,Rosehall,Wind,Onshore,No,Wind,,24.7,LV,Scotland,Scotland,,,249550,903550,2013,-4.54695273,57.99560677,,,,,,
Lightsource BP,Laceby CIC2,Solar,PV,No,Solar,,24.602465,,,,,,,,2017,0,0,,,,,,
Part of Drax Group,Glenlee,Hydro,Natural Flow,No,Hydro,,24,LV,Scotland,Scotland,DG73SF,,261221.3585,580243.4607,1935,-4.176389,55.09713812,,,,,,
Part of Drax Group,Kendoon,Hydro,Natural Flow,No,Hydro,,24,LV,Scotland,Scotland,DG73UB,,261359.0734,589083.3994,1935,-4.1785483,55.176554,,,,,,
SSE Group,Battery Point,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,23,HV,Scotland,Scotland,,,143150,932158,1952,-6.37358071,58.20311045,,,,,,
Eneco Wind UK,Burn of Whilk,Wind,Onshore,No,Wind,,22.5,LV,Scotland,Scotland,,ND293407,326232,939965,2015,-3.26174396,58.34195063,,,,,,
Falck Renewables SpA,Kingsburn,Wind,Onshore,No,Wind,,22.5,LV,Scotland,Scotland,,NS668898,266606,686412,2016,-4.14339477,56.05191393,,,,,,
RES Group,Freasdail (GB),Wind,Onshore,No,Wind,,22.5,HV,Scotland,Scotland,PA296XR,,180721,660754,2017,-5.49921207,55.79019143,,,,,,
Venitent Energy Services,Glenkerie,Wind,Onshore,No,Wind,,22,LV,Scotland,Scotland,ML126QL,,310453,628117,2012,-3.42049179,55.53852458,,,,,,
Scottish Power,Glen App,Wind,Onshore,No,Wind,,22,HV,Scotland,Scotland,KA260PG,,208000,573000,2017,-5.0044435,55.01440125,,,,,,
Greencoat Capital,North Rhins,Wind,Onshore,No,Wind,,22,LV,Scotland,Scotland,,,201980,557960,2009,-5.08807169,54.87709,,,,,,
Fred Olsen Renewables,Brockloch Rig 1,Wind,Onshore,No,Wind,,21.6,LV,Scotland,Scotland,,,261500,602500,1996,-4.18292859,55.29706845,,,,,,
RES Group,Cour Wind Farm,Wind,Onshore,No,Wind,,20.5,HV,Scotland,Scotland,PA286QL,,181005,648528,2017,-5.48489521,55.68067482,,,,,,
Engie Power,Scotia Wind (Craigengelt) Ltd,Wind,Onshore,No,Wind,,20,HV,Scotland,Scotland,FK79QS,,272451,686495,2010,-4.04965547,56.05425303,,,,,,
SSE Group,"Kilmorack Power Station -A,E",Hydro,Natural Flow,No,Hydro,,20,HV,Scotland,Scotland,,NH494442,249410,844225,1962,-4.51211945,57.46321283,,,,,,
SSE Group,"Aigas Power Station - A,E",Hydro,Natural Flow,No,Hydro,,20,HV,Scotland,Scotland,,NH474437,247395,843655,1962,-4.54531771,57.45742438,,,,,,
SSE Group,"Invergarry Power Station - A,E",Hydro,Natural Flow,No,Hydro,,19.975,HV,Scotland,Scotland,,NH319013,231930,801320,1956,-4.77403109,57.07212146,,,,,,
RWE Npower,An Suidhe,Wind,Onshore,No,Wind,,19.3,HV,Scotland,Scotland,,,200483,707563,2005,-5.21934456,56.21865466,,,,,,
EDF Energy,Pearie Law,Wind,Onshore,No,Wind,,19.2,LV,Scotland,Scotland,EH558RT,,302205,659690,2016,-3.56240119,55.82051871,,,,,,
SSE Group,"Mossford Power Station - A,G",Hydro,Natural Flow,No,Hydro,,18.66,HV,Scotland,Scotland,,NH330633,233010.4264,863187.3669,1957,-4.7981888,57.62759544,,,,,,
SSE Group,"Grudie Bridge Power Station - A, G",Hydro,Natural Flow,No,Hydro,,18.66,LV,Scotland,Scotland,,NH310624,231315.68,862293.3698,1950,-4.82589505,57.61894435,,,,,,
SSE Group,"Shin Power Station-A,G",Hydro,Natural Flow,No,Hydro,,18.62,LV,Scotland,Scotland,,NH574974,257261.3273,897258.4795,1958,-4.41283713,57.94168765,,,,,,
SSE Group,Tangy Wind Farm - A,Wind,Onshore,No,Wind,,18.52,LV,Scotland,Scotland,,NR685282,167373,626330,2002,-5.68253006,55.47529607,,,,,,
Greencoat Capital,Kildrummy,Wind,Onshore,No,Wind,,18.4,LV,Scotland,Scotland,,,357655,815170,2013,-2.7029346,57.22528325,,,,,,
Scottish Power,Wether Hill,Wind,Onshore,No,Wind,,18.2,LV,Scotland,Scotland,DG73UG,,270000,594000,2007,-4.04522705,55.22305698,,,,,,
SSE Group,"Quoich Power Station - A, E, G",Hydro,Natural Flow,No,Hydro,,18.05,LV,Scotland,Scotland,,NH107012,216881.8432,800852.8905,1955,-5.02153803,57.06219579,,,,,,
SSE Group,Orrin Power Station- A,Hydro,Natural Flow,No,Hydro,,18,HV,Scotland,Scotland,,NH436546,246905,851695,1959,-4.55852106,57.5294064,,,,,,
Community Wind Power,Millour Hill,Wind,Onshore,No,Wind,,18,,Scotland,Scotland,,,,,2012,0,0,,,,,,
Community Wind Power,Wardlaw Wood,Wind,Onshore,No,Wind,,18,,Scotland,Scotland,,,,,2006,0,0,,,,,,
Eneco Wind UK,Tullo,Wind,Onshore,No,Wind,,17.5,LV,Scotland,Scotland,,NO757723,387283,785873,2010,-2.21076584,56.96389535,,,,,,
Scottish Power,Dun Law I,Wind,Onshore,No,Wind,,17.16,LV,Scotland,Scotland,TD26RA,,344600,657500,2000,-2.88545326,55.8075777,,,,,,
SSE Group,Culligran Power Station Unit 2 - A,Hydro,Natural Flow,No,Hydro,,17.1,HV,Scotland,Scotland,,NH378405,231877.3107,839888.3031,1962,-4.80105335,57.41814304,,,,,,
Venitent Energy Services,Novar,Wind,Onshore,No,Wind,,17,LV,Scotland,Scotland,IV170XJ,,255500,871000,1997,-4.42665506,57.70548292,,,,,,
SSE Group,"St Fillans Power Station - A, G",Hydro,Natural Flow,No,Hydro,,16.83,LV,Scotland,Scotland,,NN691246,269101.6039,724133.4206,1957,-4.12199327,56.39126838,,,,,,
SSE Group,"Finlarig Power Station - A,G",Hydro,Natural Flow,No,Hydro,,16.5,HV,Scotland,Scotland,,NN585345,257077.3479,733907.8186,1955,-4.32195515,56.47552953,,,,,,
SSE Group,"Ceannacroc Power Station - A, E",Hydro,Natural Flow,No,Hydro,,16.5,LV,Scotland,Scotland,,NH224108,222745,810690,1956,-4.93196248,57.15273972,,,,,,
Greencoat Capital,Langhope Rig,Wind,Onshore,No,Wind,,16.4,LV,Scotland,Scotland,,,340519,615032,2013,-2.94136338,55.42556285,,,,,,
Falck Renewables SpA,Boyndie,Wind,Onshore,No,Wind,,16.3,LV,Scotland,Scotland,,NJ613641,364000,862000,2006,-2.60476044,57.64645709,,,,,,
SSE Group,Kirkwall,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,16,HV,Scotland,Scotland,KW151AN,,344667,1010985,1952,-2.96435466,58.9824051,,,,,,
RES Group,Earlseat Wind Farm (GB),Wind,Onshore,No,Wind,,16,LV,Scotland,Scotland,HY14TQ,,332961,698416,2013,-3.08132625,56.17364966,,,,,,
RWE Npower,Deucheran Hill (RO),Wind,Onshore,No,Wind,,15.8,LV,Scotland,Scotland,,,177000,643000,2001,-5.54397516,55.62927744,,,,,,
RWE Npower,Bowbeat (Roughside) - RO,Wind,Onshore,No,Wind,,15.6,LV,Scotland,Scotland,,,333000,646200,2002,-3.06771187,55.70459433,,,,,,
RWE Npower,Bowbeat (Emly Bank) - RO,Wind,Onshore,No,Wind,,15.6,LV,Scotland,Scotland,,,329600,647500,2002,-3.12213749,55.71579014,,,,,,
RES Group,Carscreugh,Wind,Onshore,No,Wind,,15.3,HV,Scotland,Scotland,,,225000,555000,2014,-4.72795044,54.85910673,,,,,,
Scottish Power,Clachan Flats,Wind,Onshore,No,Wind,,15.03,HV,Scotland,Scotland,PA268BJ,,217950,714520,2009,-4.94287093,56.28808261,,,,,,
SSE Group,Pitlochry Power Station - A,Hydro,Natural Flow,No,Hydro,,15,HV,Scotland,Scotland,,NN936577,293515,757730,1950,-3.74055613,56.69909416,,,,,,
Falck Renewables SpA,Nutberry,Wind,Onshore,No,Wind,,15,LV,Scotland,Scotland,,NS777322,279021,635662,2013,-3.92158096,55.59949438,,,,,,
SSE Group,"Torr Achilty Power Station - A,E",Hydro,Natural Flow,No,Hydro,,15,LV,Scotland,Scotland,,NH446545,244418.3748,854546.6167,1954,-4.60183274,57.55414977,,,,,,
SSE Group,Livishie Power Station - A,Hydro,Natural Flow,No,Hydro,,15,LV,Scotland,Scotland,,NH353160,240245,817495,1962,-4.64739651,57.22022749,,,,,,
SSE Group,"Nant Power Station - A,E",Hydro,Natural Flow,No,Hydro,,15,HV,Scotland,Scotland,,NN016207,203606.804,723291.4042,1963,-5.18075718,56.36103966,T_NANT-1,,,,,
Lightsource BP,Firs Road CIC1,Solar,PV,No,Solar,,14.402485,,,,,,,,2017,0,0,,,,,,
Temporis Capital,Tullymurdoch,Wind,Onshore,No,Wind,,14.4,LV,Scotland,Scotland,PH118LH,,319575,752228,2018,-3.31341464,56.65489734,,,,,,
Part of Drax Group,Earlstoun,Hydro,Natural Flow,No,Hydro,,14,LV,Scotland,Scotland,DG73SR,,261304.6735,583126.6451,1935,-4.17648126,55.12305808,,,,,,
WPO UK Services,Pates Hill,Wind,Onshore,No,Wind,,14,,Scotland,Scotland,,NT 00099 59791,,,2010,0,0,,,,,,
Fred Olsen Renewables,Crystal Rig III,Wind,Onshore,No,Wind,,13.8,HV,Scotland,Scotland,,,368562,672486,2016,-2.504921,55.94437752,,,,,,
Scottish Power,Ewe Hill I,Wind,Onshore,No,Wind,,13.8,LV,Scotland,Scotland,DG112QG,,315000,580000,2016,-3.3338687,55.10709697,,,,,,
Scottish Power,Hare Hill I,Wind,Onshore,No,Wind,,13.2,LV,Scotland,Scotland,KA184NW,,265320,609703,2000,-4.12627241,55.36280784,,,,,,
Greencoat Capital,Errol,Solar,PV,No,Solar,,12.99942,LV,Scotland,Scotland,PH27NL,,321840,721031,2016,-3.26709385,56.37508161,,,,,,
Capital Dynamics UK,Sorbie,Wind,Onshore,No,Wind,,12.6,,Scotland,Scotland,,,,,2023,-4.791289,55.658546,,,,,,
Venitent Energy Services,Gordonstown Hill,Wind,Onshore,No,Wind,,12.5,LV,Scotland,Scotland,AB538LH,,371136,841396,2013,-2.48276411,57.46190585,,,,,,
EPR,EPR Scotland Ltd,Bioenergy,Bioenergy,No,Biomass,Oil,12.5,HV,Scotland,Scotland,KY50HR,,319000,695100,2000,-3.30510928,56.14169436,,,,,,
Temporis Capital,Muirhall,Wind,Onshore,No,Wind,,12.3,LV,Scotland,Scotland,EH558LN,,300605,653760,2010,-3.58575982,55.76693209,,,,,,
EDF Energy,Rhodders,Wind,Onshore,No,Wind,,12.3,LV,Scotland,Scotland,FK147JZ,,288738,697461,2016,-3.79286128,56.15679407,,,,,,
Engie Power,Blantyre Muir Wind Energy Ltd,Wind,Onshore,No,Wind,,12.3,HV,Scotland,Scotland,G720TR,,268888,651781,2014,-4.08998791,55.74160266,,,,,,
Capital Dynamics UK,Falkirk Tod Hill,Wind,Onshore,No,Wind,,12.3,HV,Scotland,Scotland,FK5 4SJ,,,,2016,0,0,,,,,,
WPO UK Services,Dummuies,Wind,Onshore,No,Wind,,12.25,LV,Scotland,Scotland,,NJ5635836050,,,2007,0,0,,,,,,
Part of Drax Group,Carsfad,Hydro,Natural Flow,No,Hydro,,12,LV,Scotland,Scotland,DG73ST,,259672.5447,584952.2229,1935,-4.20295477,55.13898549,,,,,,
Scottish Power,Middleton,Wind,Onshore,No,Wind,,12,LV,Scotland,Scotland,G776PZ,,253158,656019,2013,-4.34260271,55.77513278,,,,,,
WPO UK Services,AOE,Wind,Onshore,No,Wind,,11.5,HV,Scotland,Scotland,,NS5802548945,257717,648148,2014,-4.26588426,55.7058305,,,,,,
Part of Drax Group,Bonnington,Hydro,Natural Flow,No,Hydro,,11,LV,Scotland,Scotland,ML119TB,,288851.2921,641742.8194,1927,-3.76811681,55.65645184,,,,,,
SSE Group,"Cashlie Power Station - A,C",Hydro,Natural Flow,No,Hydro,,11,LV,Scotland,Scotland,,NN507421,248530,741735,1959,-4.46513199,56.54310914,,,,,,
SSE Group,Loch Carnan,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,11,HV,Scotland,Scotland,,,83233,842636,1972,-7.27050337,57.36357422,,,,,,
EDF Energy,Burnfoot East,Wind,Onshore,No,Wind,,10.8,LV,Scotland,Scotland,FK147JZ,,,,2020,0,0,,,,,,
Engie Power,Cairnborrow Wind Energy Ltd,Wind,Onshore,No,Wind,,10.25,HV,Scotland,Scotland,AB544XP,,346153,841867,2017,-2.89924054,57.46385334,,,,,,
RES Group,Meikle Carewe Wind Farm (GB),Wind,Onshore,No,Wind,,10.2,LV,Scotland,Scotland,AB393QH,,383200,792000,2013,-2.27832027,57.01880367,,,,,,
SSE Group,Spurness Wind Farm II,Wind,Onshore,No,Wind,,10,LV,Scotland,Scotland,,HY606356,360531,1033828,2012,-2.69252249,59.18928988,,,,,,
Temporis Capital,Craig,Wind,Onshore,No,Wind,,10,HV,Scotland,Scotland,DG130NZ,,331995,586055,2007,-3.06899427,55.16412216,,,,,,
Venitent Energy Services,Westfield,Wind,Onshore,No,Wind,,10,LV,Scotland,Scotland,KY50HJ,,319640,695487,2013,-3.29492986,56.14527875,,,,,,
RES Group,Neilston (GB),Wind,Onshore,No,Wind,,10,LV,Scotland,Scotland,G784BZ,,245292,653952,2018,-4.4667059,55.75412548,,,,,,
SSE Group,"Cassley Power Station - A,C,E",Hydro,Natural Flow,No,Hydro,,10,LV,Scotland,Scotland,,NC396232,247325,901540,1959,-4.5832512,57.97681276,,,,,,
SSE Group,Arnish,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,10,HV,Scotland,Scotland,,,142229,930499,2000,-6.38736876,58.18771661,,,,,,
Quinbrook Infrastructure Partners,Cleve Hill Solar Park,Solar,PV,No,Solar,,317,,England,,,,,,,0.9429,51.3344,T_CLVHS-1,T_CLVHS-2,,,,
